التاريخ,البيان,النوع,التصنيف,الطرف,المبلغ
2026-01-02,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-01-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6145.67
2026-01-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,2615.19
2026-01-04,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,22073.57
2026-01-06,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,10668.66
2026-01-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,23079.59
2026-01-09,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,2686.16
2026-01-09,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,3145.52
2026-01-13,مصاريف تشغيلية,مصروف,تشغيل,متنوع,7389.12
2026-01-14,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6263.98
2026-01-14,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,4082.53
2026-01-15,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,56303.24
2026-01-18,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,7666.23
2026-01-19,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,3527.11
2026-01-20,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,16694.34
2026-01-23,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,15122.85
2026-01-24,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,21864.13
2026-01-24,حملات إعلانية,مصروف,تسويق,منصات إعلانية,9000.0
2026-01-25,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,2465.77
2026-01-26,رواتب الموظفين,مصروف,رواتب,الموظفون,62000.0
2026-01-28,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,3593.81
2026-01-28,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2900.75
2026-02-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6765.29
2026-02-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,8063.91
2026-02-03,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,56789.83
2026-02-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6437.8
2026-02-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,4542.73
2026-02-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2483.22
2026-02-09,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,5495.37
2026-02-09,حملات إعلانية,مصروف,تسويق,منصات إعلانية,10500.0
